,Film,U.S. release date,Director(s),Screenwriter(s),Producer(s)
0,Iron Man,May 2 2008,Jon Favreau,Mark Fergus & Hawk Ostby and Art Marcum & Matt Holloway,Avi Arad and Kevin Feige
1,The Incredible Hulk,June 13 2008,Louis Leterrier,Zak Penn,Avi Arad Gale Anne Hurdand Kevin Feige
2,Iron Man 2,May 7 2010,Jon Favreau,Justin Theroux,Kevin Feige
3,Thor,May 6 2011,Kenneth Branagh,Ashley Edward Miller & Zack Stentz and Don Payne,
4,Captain America: The First Avenger,July 22 2011,Joe Johnston,Christopher Markus & Stephen McFeely,
5,Marvel's The Avengers,May 4 2012,Joss Whedon,,
6,Iron Man 3,May 3 2013,Shane Black,Drew Pearce and Shane Black,Kevin Feige
7,Thor: The Dark World,November 8 2013,Alan Taylor,Christopher L. Yost and Christopher Markus & Stephen McFeely,
8,Captain America: The Winter Soldier,April 4 2014,Anthony and Joe Russo,Christopher Markus & Stephen McFeely,
9,Guardians of the Galaxy,August 1 2014,James Gunn,James Gunn and Nicole Perlman,
10,Avengers: Age of Ultron,May 1 2015,Joss Whedon,,
11,Ant-Man,July 17 2015,Peyton Reed,Edgar Wright & Joe Cornish and Adam McKay & Paul Rudd,
12,Captain America: Civil War,May 6 2016,Anthony and Joe Russo,Christopher Markus & Stephen McFeely,Kevin Feige
13,Doctor Strange,November 4 2016,Scott Derrickson,Jon Spaihts and Scott Derrickson & C. Robert Cargill,
14,Guardians of the Galaxy Vol. 2,May 5 2017,James Gunn,,
15,Spider-Man: Homecoming,July 7 2017,Jon Watts,Jonathan Goldstein & John Francis Daley andJon Watts & Christopher Ford andChris McKenna & Erik Sommers,Kevin Feige and Amy Pascal
16,Thor: Ragnarok,November 3 2017,Taika Waititi,Eric Pearson and Craig Kyle & Christopher L. Yost,Kevin Feige
17,Black Panther,February 16 2018,Ryan Coogler,Ryan Coogler & Joe Robert Cole,
18,Avengers: Infinity War,April 27 2018,Anthony and Joe Russo,Christopher Markus & Stephen McFeely,
19,Ant-Man and the Wasp,July 6 2018,Peyton Reed,Chris McKenna & Erik Sommers andPaul Rudd & Andrew Barrer & Gabriel Ferrari,Kevin Feige and Stephen Broussard
20,Captain Marvel,March 8 2019,Anna Boden and Ryan Fleck,Anna Boden & Ryan Fleck & Geneva Robertson-Dworet,Kevin Feige
21,Avengers: Endgame,April 26 2019,Anthony and Joe Russo,Christopher Markus & Stephen McFeely,
22,Spider-Man: Far From Home,July 2 2019,Jon Watts,Chris McKenna & Erik Sommers,Kevin Feige and Amy Pascal
